Number of employees,Is your employer a tech company?,Does your medical coverage include treatment of mental health?,Do you currently have a mental health disorder?,Do you know the options for mental health care available under your employer-provided health coverage?,Have you ever been diagnosed with a mental health disorder?,Have you had a mental health disorder in the past?,Do you have a family history of mental illness?,What is your age?,What is your gender?,What country do you work in?,What is your race?,Is your primary role within your company related to tech/IT?,Do you believe your productivity is ever affected by a mental health issue?,How well do you think the tech industry supports employees with mental health issues?,"Anxiety Disorder (Generalized, Social, Phobia, etc)","Mood Disorder (Depression, Bipolar Disorder, etc)","Psychotic Disorder (Schizophrenia, Schizoaffective, etc)","Eating Disorder (Anorexia, Bulimia, etc)",Attention Deficit Hyperactivity Disorder,"Personality Disorder (Borderline, Antisocial, Paranoid, etc)",Obsessive-Compulsive Disorder,Post traumatic Stress Disorder,Stress Response Syndromes,Dissociative Disorder,Substance Use Disorder,Addictive Disorder,Other
1-5,Yes,No,Yes,No,Yes,Possibly,Yes,25.0,Female,United States of America,I prefer not to answer,Yes,No,1.0,No,No,No,No,No,No,No,No,No,No,No,No,No
6-25,Yes,No,Yes,No,Yes,Yes,Yes,29.0,Female,United States of America,White,Yes,No,2.0,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No
26-100,Yes,No,No,No,No,No,I don't know,47.0,Male,United States of America,White,Yes,No,3.0,No,No,No,No,No,No,No,No,No,No,No,No,No
No Answer,No,No,No,No,No,No,No,36.0,Male,United States of America,White,No,No,3.0,No,No,No,No,No,No,No,No,No,No,No,No,No
More than 1000,No,No,Don't Know,No,No,Possibly,Yes,61.0,Male,United States of America,White,Yes,No,2.0,No,No,No,No,No,No,No,No,No,No,No,No,No
6-25,Yes,No,Possibly,No,No,Yes,No,28.0,Male,United States of America,White,Yes,No,4.0,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes
500-1000,No,No,Possibly,Yes,No,Possibly,Yes,31.0,Male,United States of America,White,Yes,No,3.0,No,No,No,No,Yes,No,No,No,No,No,No,No,No
6-25,Yes,No,No,No,No,No,I don't know,35.0,Male,Uruguay,No Answer,Yes,No,2.0,No,No,No,No,No,No,No,No,No,No,No,No,No
26-100,Yes,No,Yes,No,Yes,Don't Know,Yes,40.0,Male,United States of America,White,Yes,No,4.0,No,No,No,No,Yes,No,No,No,No,No,No,No,No
No Answer,No,No,No,No,No,No,No,32.0,Male,United States of America,White,No,Not applicable to me,2.0,No,No,No,No,No,No,No,No,No,No,No,No,No
26-100,Yes,No,No,No,No,Yes,No,41.0,Male,United States of America,White,Yes,No,2.0,No,No,No,No,No,No,No,No,No,No,No,No,No
6-25,Yes,No,Yes,Yes,Yes,Yes,No,34.0,Male,United States of America,White,Yes,No,3.0,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No
6-25,Yes,No,Yes,No,Yes,Yes,Yes,31.0,Female,United States of America,White,Yes,No,3.0,No,Yes,No,No,No,No,No,No,No,No,No,No,No
More than 1000,No,No,Yes,Yes,Yes,No,I don't know,35.0,Female,United States of America,Black or African American,Yes,No,4.0,No,No,No,No,No,No,No,Yes,No,Yes,No,No,Yes
500-1000,Yes,No,Possibly,Yes,No,Possibly,Yes,27.0,Female,United States of America,Black or African American,Yes,No,2.0,Yes,No,No,No,No,No,No,No,No,No,No,No,No
100-500,Yes,No,No,No,No,Yes,Yes,42.0,Female,United States of America,White,Yes,No,3.0,No,No,No,No,No,No,No,No,No,No,No,No,No
No Answer,No,yes,No,No,No,Yes,No,67.0,Female,United States of America,White,No,Not applicable to me,2.0,No,No,No,No,No,No,No,No,No,No,No,No,No
More than 1000,No,No,Yes,Yes,Yes,Yes,Yes,56.0,Male,United States of America,White,Yes,No,3.0,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No
6-25,Yes,No,Yes,No,Yes,Yes,Yes,27.0,Female,United States of America,Black or African American,Yes,No,3.0,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No
More than 1000,Yes,No,Don't Know,No,No,Yes,Yes,37.0,Female,United Kingdom,No Answer,Yes,No,3.0,No,No,No,No,No,No,No,No,No,No,No,No,No
No Answer,No,yes,Possibly,No,No,Yes,I don't know,40.0,Male,Serbia,No Answer,No,Yes,3.0,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No
26-100,Yes,No,Yes,Yes,Yes,Possibly,I don't know,30.0,Female,United Kingdom,No Answer,Yes,No,3.0,No,Yes,No,No,No,No,No,No,No,No,No,No,No
More than 1000,Yes,No,Possibly,No,No,No,Yes,39.0,Male,United States of America,White,Yes,No,3.0,Yes,No,No,No,No,No,No,No,No,No,No,No,No
6-25,Yes,No,Yes,No,Yes,Yes,Yes,30.0,Female,United States of America,White,Yes,No,3.0,No,Yes,No,No,No,No,No,No,No,No,No,No,No
6-25,Yes,No,No,No,No,No,No,31.0,Male,Netherlands,No Answer,Yes,No,4.0,No,No,No,No,No,No,No,No,No,No,No,No,No
No Answer,No,yes,Yes,No,Yes,No,Yes,36.0,Male,Italy,No Answer,No,Yes,1.0,No,No,No,No,No,No,No,No,No,No,No,No,No
